"Response ID","Date Submitted","Referer","Custom Highlight: Format text ranges with no additional DOM nodes:Please share your feedback about the following features","EditContext: Build text editors to support advanced input methods:Please share your feedback about the following features","Async Clipboard: Read from and write to the system clipboard:Please share your feedback about the following features","Clipboard unsanitized HTML support: Read raw HTML from the clipboard:Please share your feedback about the following features","Clipboard custom formats support: Read and write custom data from the clipboard:Please share your feedback about the following features","Clipboard SVG support: Read and write SVG data from the clipboard:Please share your feedback about the following features","writingsuggestions HTML attribute: Toggle the browser's AI writing suggestions:Please share your feedback about the following features","document.caretPositionFromPoint(): Get the caret position from a point:Please share your feedback about the following features","document.elementFromPoint(): Get DOM elements from a point:Please share your feedback about the following features","Selection: Control and modify user text selections:Please share your feedback about the following features","selection.getComposedRanges: Get user text selections across shadow DOM:Please share your feedback about the following features","selectionchange event: Detect user text selection changes:Please share your feedback about the following features","Static range: Handle immutable text ranges effectively:Please share your feedback about the following features","contenteditable: HTML attribute to make text editable:Please share your feedback about the following features","contenteditable=plaintext-only: Edit plain text not rich text:Please share your feedback about the following features","CSS.highlights.highlightsFromPoint: Get custom highlights from a point:Please share your feedback about the following proposals","Support for range.getBoundingClientRect() in input and textareas:Please share your feedback about the following proposals","clipboardchange event: Detect changes to clipboard contents:Please share your feedback about the following proposals","placeElement: Allows HTML elements to be drawn on canvas:Please share your feedback about the following proposals","Are there any text or editing related features that are difficult to implement?"
"37","Nov 19, 2024 12:32:24 am","https://developer.mozilla.org/","Never heard of it","Heard of it but not used it","Used it and satisfied","Heard of it but not used it","Never heard of it","Heard of it but not used it","","Never heard of it","Heard of it but not used it","Used it and satisfied","Never heard of it","Heard of it but not used it","Never heard of it","Used it and satisfied","Never heard of it","Never heard of it","Never heard of it","Heard of it and interested","Heard of it and interested",""
"38","Nov 19, 2024 12:35:37 am","https://developer.mozilla.org/","Never heard of it","Used it and satisfied","Heard of it but not used it","Heard of it but not used it","Heard of it but not used it","Used it and satisfied","Never heard of it","Used it and satisfied","Heard of it but not used it","Heard of it but not used it","Heard of it but not used it","Heard of it but not used it","Heard of it but not used it","Used it and satisfied","Used it and satisfied","","","","",""
"39","Nov 19, 2024 1:13:37 am","https://developer.mozilla.org/","Heard of it but not used it","Never heard of it","Heard of it but not used it","Heard of it but not used it","Used it and not satisfied","Heard of it but not used it","Never heard of it","Never heard of it","Never heard of it","Heard of it but not used it","Never heard of it","Never heard of it","Never heard of it","Used it and not satisfied","Used it and not satisfied","Heard of it and interested","Heard of it and interested","Heard of it and interested","Heard of it and interested","custom formatting"
"40","Nov 19, 2024 3:28:55 am","https://developer.mozilla.org/","Heard of it but not used it","Heard of it but not used it","Used it and satisfied","Never heard of it","Heard of it but not used it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Used it and satisfied","Never heard of it","Used it and satisfied","Used it and satisfied","Used it and satisfied","Heard of it but not used it","Never heard of it","Heard of it and interested","Heard of it and interested","Never heard of it",""
"41","Nov 19, 2024 6:44:09 am","https://developer.mozilla.org/","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","","","Never heard of it","Never heard of it","Heard of it but not interested","Never heard of it","Never heard of it",""
"42","Nov 19, 2024 7:05:00 am","https://developer.mozilla.org/","Never heard of it","Never heard of it","Used it and satisfied","Used it and satisfied","Used it and satisfied","Used it and satisfied","Never heard of it","Never heard of it","Used it and satisfied","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Used it and satisfied","Used it and satisfied","Never heard of it","Heard of it and interested","Heard of it but not interested","Heard of it and interested",""
"43","Nov 19, 2024 8:51:13 am","https://developer.mozilla.org/","Never heard of it","Never heard of it","Used it and satisfied","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Used it and satisfied","Used it and not satisfied","Never heard of it","Heard of it but not used it","Never heard of it","Used it and not satisfied","Heard of it but not used it","Never heard of it","Never heard of it","Heard of it and interested","Never heard of it",""
"44","Nov 19, 2024 5:21:23 pm","https://developer.mozilla.org/","Never heard of it","","","","","","","","","","","","","","","","","","",""
"45","Nov 19, 2024 6:29:28 pm","https://developer.mozilla.org/","Used it and not satisfied","Heard of it but not used it","Used it and not satisfied","Heard of it but not used it","Heard of it but not used it","Heard of it but not used it","Never heard of it","Never heard of it","Never heard of it","Used it and not satisfied","Never heard of it","Never heard of it","Never heard of it","Used it and satisfied","Never heard of it","Heard of it but not interested","Heard of it but not interested","Heard of it and interested","Heard of it and interested",""
"46","Nov 19, 2024 9:12:47 pm","https://developer.mozilla.org/","Never heard of it","Never heard of it","Used it and satisfied","Used it and satisfied","Used it and satisfied","Used it and satisfied","","Never heard of it","Never heard of it","Heard of it but not used it","Never heard of it","Never heard of it","Never heard of it","Used it and not satisfied","Used it and not satisfied","Never heard of it","Never heard of it","Heard of it and interested","Heard of it and interested",""
"47","Nov 19, 2024 11:58:06 pm","https://developer.mozilla.org/","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Heard of it but not used it","Heard of it but not used it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","no"
"48","Nov 20, 2024 7:22:02 am","https://developer.mozilla.org/","Never heard of it","Never heard of it","Never heard of it","Never heard of it","","","","","","","","","","","","","","","",""
"49","Nov 20, 2024 8:06:39 am","https://developer.mozilla.org/","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Heard of it but not used it","Never heard of it","Never heard of it","Used it and satisfied","Never heard of it","Never heard of it","Never heard of it","Used it and not satisfied","Never heard of it","Never heard of it","Heard of it and interested","Heard of it and interested","Heard of it and interested","different behavior by browser controling cursor behavior"
"50","Nov 20, 2024 8:15:35 am","https://developer.mozilla.org/","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Heard of it but not used it","Never heard of it","Never heard of it","Never heard of it","Used it and not satisfied","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it",""
"51","Nov 20, 2024 8:37:13 am","https://developer.mozilla.org/","Never heard of it","","","","","","","","","","","","","","","","","","",""
"52","Nov 20, 2024 10:06:25 am","https://developer.mozilla.org/","Heard of it but not used it","Never heard of it","Used it and not satisfied","Used it and not satisfied","Used it and not satisfied","Never heard of it","Never heard of it","Heard of it but not used it","Heard of it but not used it","Used it and satisfied","Never heard of it","Used it and satisfied","Never heard of it","Used it and not satisfied","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Dealing with browser differences in clipboard manipulation was a pain last I checked, though it seems like things may have converged more recently. I am interested and have a use case for custom highlights, but am waiting for them to be supported in Firefox.  Dealing with contenteditable is very unpredictable if you need to read its contents unless you use a framework like ProseMirror, as so much of it is unspecified and different between browsers. Nesting `contenteditable=""false""` inside of `contenteditable=""true""` elements also has cross-browser issues around things like cursors."
"53","Nov 20, 2024 11:36:45 pm","https://developer.mozilla.org/","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Heard of it but not used it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it",""
"54","Nov 21, 2024 1:11:55 am","https://developer.mozilla.org/","Used it and not satisfied","","","","","","","","","","","","","","","","","","",""
"55","Nov 21, 2024 5:16:00 am","https://developer.mozilla.org/","Used it and satisfied","Never heard of it","Used it and satisfied","Heard of it but not used it","Heard of it but not used it","Heard of it but not used it","Never heard of it","Never heard of it","Used it and satisfied","Used it and satisfied","Heard of it but not used it","Heard of it but not used it","Never heard of it","Used it and satisfied","Used it and not satisfied","Never heard of it","Never heard of it","Never heard of it","Never heard of it",""
"56","Nov 21, 2024 6:12:47 am","https://developer.mozilla.org/","Never heard of it","","Heard of it but not used it","Never heard of it","Heard of it but not used it","Heard of it but not used it","Never heard of it","Heard of it but not used it","Heard of it but not used it","Heard of it but not used it","Never heard of it","Heard of it but not used it","Never heard of it","Heard of it but not used it","Heard of it but not used it","Never heard of it","Heard of it and interested","Heard of it but not interested","Never heard of it","Selecting text or positioning the caret on a mobile device without a mouse is a bit clumsy."
"57","Nov 21, 2024 6:56:03 am","https://developer.mozilla.org/","","Used it and satisfied","Used it and satisfied","Never heard of it","Used it and satisfied","Used it and satisfied","Used it and satisfied","Used it and satisfied","Used it and satisfied","Used it and satisfied","Never heard of it","Used it and satisfied","Used it and satisfied","Used it and satisfied","Used it and satisfied","Never heard of it","Never heard of it","Never heard of it","Never heard of it",""
"58","Nov 21, 2024 8:17:50 am","https://developer.mozilla.org/","Never heard of it","Never heard of it","Heard of it but not used it","Never heard of it","Never heard of it","Heard of it but not used it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Heard of it but not used it","Heard of it but not used it","","","","",""
"59","Nov 22, 2024 7:39:27 am","https://developer.mozilla.org/","","","","","","","","","","","","","","","","","","","",""
"60","Nov 22, 2024 11:16:22 am","https://developer.mozilla.org/","Heard of it but not used it","Never heard of it","Used it and satisfied","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Used it and satisfied","Never heard of it","Used it and satisfied","Never heard of it","Used it and not satisfied","Never heard of it","Heard of it and interested","Heard of it and interested","Heard of it and interested","Heard of it and interested",""
"61","Nov 22, 2024 1:07:32 pm","https://developer.mozilla.org/","Never heard of it","Never heard of it","Used it and not satisfied","Never heard of it","Heard of it but not used it","Heard of it but not used it","Never heard of it","Never heard of it","Never heard of it","Used it and not satisfied","Never heard of it","Used it and satisfied","Heard of it but not used it","Used it and not satisfied","Heard of it but not used it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Preserving selection after doing dom modifications"
"62","Nov 22, 2024 3:11:00 pm","https://developer.mozilla.org/","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Heard of it but not used it","Never heard of it","Never heard of it","Used it and satisfied","Used it and satisfied","Used it and satisfied","Never heard of it","Never heard of it","Never heard of it","Used it and satisfied","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it",""
