Response ID,Date Submitted,Referer,"Understanding security threats and how they might apply to your web application:To keep your Web app and its users safe from security vulnerabilities, rate how easy or challenging are the following aspects:","Understanding the security model of Web browsers (e.g. same-origin policy, CORS, permissions policy):To keep your Web app and its users safe from security vulnerabilities, rate how easy or challenging are the following aspects:","Keeping up to date the frameworks and libraries your app depends on:To keep your Web app and its users safe from security vulnerabilities, rate how easy or challenging are the following aspects:","Integrating safely third-party services (e.g. login, payment):To keep your Web app and its users safe from security vulnerabilities, rate how easy or challenging are the following aspects:","Configuring the server to match the required security properties (e.g. SSL, HTTP headers):To keep your Web app and its users safe from security vulnerabilities, rate how easy or challenging are the following aspects:","Detecting security vulnerabilities introduced in your development workflow (e.g. cross-site scripting):To keep your Web app and its users safe from security vulnerabilities, rate how easy or challenging are the following aspects:",What are the other main security-related challenges you're facing when developing and deploying Web content?
13,"May 18, 2023 11:21:27 pm",https://survey.alchemer.com/s3/7348686/MDN-Web-Security-short-survey,Neutral,Very challenging,Very easy,Very easy,Neutral,Somewhat challenging,How to be the most autonomous as possible. Therefore use less a possible third party services.
14,"May 18, 2023 11:59:11 pm",https://developer.mozilla.org/,Easy,Somewhat challenging,Neutral,Neutral,Very challenging,Somewhat challenging,
15,"May 19, 2023 12:05:55 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Neutral,Neutral,Very challenging,Easy,"It would be really great to have an API so we can warn the user if the browser they use is not up-to-date (i.e. there are CVE's) - although for minor problems we can leave this to the browser, for critical applications it would be good to be able to force the user to update first."
16,"May 19, 2023 12:12:27 am",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Somewhat challenging,Neutral,Somewhat challenging,Very challenging,
17,"May 19, 2023 12:56:31 am",https://developer.mozilla.org/,Somewhat challenging,Very easy,Neutral,Neutral,Easy,Easy,
18,"May 19, 2023 1:07:40 am",https://developer.mozilla.org/,Easy,Easy,Very easy,Easy,Neutral,Neutral,
19,"May 19, 2023 1:23:24 am",https://developer.mozilla.org/,Neutral,Somewhat challenging,Easy,Neutral,Easy,Somewhat challenging,
20,"May 19, 2023 1:34:02 am",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Easy,Very challenging,Very challenging,Very easy,NPM is a dumpster fire
21,"May 19, 2023 1:42:22 am",https://developer.mozilla.org/,Neutral,Easy,Neutral,Neutral,Easy,Neutral,
22,"May 19, 2023 1:50:44 am",https://developer.mozilla.org/,Easy,Somewhat challenging,Very easy,Easy,Very easy,Easy,
23,"May 19, 2023 1:58:46 am",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Very challenging,Neutral,Somewhat challenging,Somewhat challenging,
24,"May 19, 2023 1:59:00 am",https://developer.mozilla.org/,Easy,Neutral,Very challenging,Very challenging,Somewhat challenging,Somewhat challenging,"Minimising dependencies and complexity. The modern web is rotten to the core: PKIs, CAs, ASN1.0, dodgy elliptic curve constants, ad surveillance networks, paywalls, clickbait... We should just trash the whole thing and start from scratch.  [PII redacted - 1]"
25,"May 19, 2023 2:22:05 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Somewhat challenging,Neutral,Neutral,Very challenging,
26,"May 19, 2023 2:32:21 am",https://developer.mozilla.org/,Very challenging,Easy,Very challenging,Very challenging,Somewhat challenging,Neutral,
27,"May 19, 2023 3:03:24 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Somewhat challenging,Somewhat challenging,Easy,Neutral,keeping up with all the new technology
28,"May 19, 2023 3:09:00 am",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Neutral,Easy,Somewhat challenging,Easy,"Trying to implement a strict-csp header, especially when trying to be compliant with third-party scripts.  When using an allowlist CSP header I frequently need to loosen up security due to third party requiring `unsafe-eval` for example.  Relaying all security related matters in FE to my frontend team. Especially CSP / CORS still seem to be ""hard"" to understand concepts.  Firefox/Safari not supporting TrustTypes OOTB. Now requires a polyfill, which kills adoptation."
29,"May 19, 2023 3:32:48 am",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Neutral,Very challenging,
30,"May 19, 2023 3:57:19 am",https://developer.mozilla.org/,Very challenging,Very challenging,Easy,,Very challenging,Very challenging,Nothing
31,"May 19, 2023 4:14:27 am",https://developer.mozilla.org/,Neutral,Somewhat challenging,Neutral,Somewhat challenging,Somewhat challenging,Neutral,
32,"May 19, 2023 4:35:57 am",https://developer.mozilla.org/,Neutral,Somewhat challenging,Neutral,Easy,Easy,Somewhat challenging,
33,"May 19, 2023 4:46:34 am",https://developer.mozilla.org/,Neutral,Somewhat challenging,Somewhat challenging,Easy,Neutral,Neutral,
34,"May 19, 2023 5:04:54 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Somewhat challenging,Neutral,Neutral,Neutral,Security around file upload...
35,"May 19, 2023 5:22:29 am",https://developer.mozilla.org/,Very challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Very challenging,Somewhat challenging,
36,"May 19, 2023 6:47:29 am",https://developer.mozilla.org/,Easy,Neutral,Somewhat challenging,Neutral,Somewhat challenging,Easy,
37,"May 19, 2023 7:12:45 am",https://developer.mozilla.org/,Neutral,Very challenging,Very challenging,Very challenging,Somewhat challenging,Very challenging,
38,"May 19, 2023 7:14:26 am",https://developer.mozilla.org/,Very challenging,Somewhat challenging,Neutral,Somewhat challenging,Neutral,Very challenging,verify users input
39,"May 19, 2023 7:42:55 am",https://developer.mozilla.org/,Very challenging,Somewhat challenging,Very challenging,Neutral,Easy,Very challenging,
40,"May 19, 2023 7:47:27 am",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Very challenging,
41,"May 19, 2023 8:15:42 am",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Somewhat challenging,Very challenging,Somewhat challenging,Very challenging,
42,"May 19, 2023 8:30:29 am",https://developer.mozilla.org/,Very challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Easy,Very challenging,
43,"May 19, 2023 8:39:23 am",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Neutral,Somewhat challenging,
44,"May 19, 2023 8:47:52 am",https://developer.mozilla.org/,Neutral,Easy,Somewhat challenging,Neutral,Easy,Neutral,
45,"May 19, 2023 9:11:17 am",https://developer.mozilla.org/,Very challenging,Very challenging,Somewhat challenging,Neutral,Somewhat challenging,Very challenging,
46,"May 19, 2023 9:32:15 am",https://developer.mozilla.org/,Very challenging,Easy,Neutral,Easy,Neutral,Easy,
47,"May 19, 2023 9:47:54 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Somewhat challenging,Very challenging,Somewhat challenging,Very challenging,
48,"May 19, 2023 9:54:36 am",https://developer.mozilla.org/,Very challenging,Somewhat challenging,Neutral,Neutral,Easy,Very challenging,
49,"May 19, 2023 9:58:36 am",https://survey.alchemer.com/s3/7348686/MDN-Web-Security-short-survey,Somewhat challenging,Neutral,Somewhat challenging,Somewhat challenging,Neutral,Somewhat challenging,Setting up an explicit sandbox for loading untrusted materials is more challenging than it seems like it should be.
50,"May 19, 2023 10:07:24 am",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,
51,"May 19, 2023 10:53:42 am",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Easy,Somewhat challenging,Easy,Easy,The hardest part is that you can't force clients to do anything. Any operations you want to be atomic you have to have a server for to do.
52,"May 19, 2023 11:29:22 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Easy,Neutral,Neutral,Somewhat challenging,"There are a lot of obscure less known security threats, that are consequentialy harder to spot and fix, like the BREACH attack on compressed text/html responses. A lot of developers take compressing text/html responses for granted and do it by default."
53,"May 19, 2023 12:11:29 pm",https://developer.mozilla.org/,Very challenging,Neutral,Very challenging,Somewhat challenging,Very challenging,Very challenging,
54,"May 19, 2023 12:24:08 pm",https://developer.mozilla.org/,Very challenging,Easy,Easy,Very challenging,Very easy,Easy,
55,"May 19, 2023 12:49:17 pm",https://developer.mozilla.org/,Neutral,Somewhat challenging,Easy,Very challenging,Neutral,Very easy,
56,"May 19, 2023 1:05:43 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Very challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,End-users
57,"May 19, 2023 1:27:23 pm",https://developer.mozilla.org/,Neutral,Neutral,Very challenging,Somewhat challenging,Very easy,Somewhat challenging,
58,"May 19, 2023 2:07:31 pm",https://developer.mozilla.org/,Very challenging,Somewhat challenging,Neutral,Somewhat challenging,Somewhat challenging,Very challenging,"Not able to use a standard API, like sanitizer, yet. This should be an integral part of the open web. :)"
59,"May 19, 2023 2:11:32 pm",https://developer.mozilla.org/,Neutral,Neutral,Easy,Easy,Very easy,Neutral,
60,"May 19, 2023 3:12:20 pm",https://developer.mozilla.org/,Easy,Easy,Easy,Easy,Easy,Easy,[noise redacted  - 1]
61,"May 19, 2023 3:23:56 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Easy,Neutral,Somewhat challenging,Neutral,
62,"May 19, 2023 6:35:44 pm",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Somewhat challenging,Somewhat challenging,Very challenging,Very challenging,
63,"May 19, 2023 6:58:43 pm",https://developer.mozilla.org/,Very challenging,Neutral,Somewhat challenging,Neutral,Somewhat challenging,Somewhat challenging,
64,"May 19, 2023 8:34:06 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,
65,"May 19, 2023 9:02:40 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Neutral,,Neutral,Neutral,
66,"May 19, 2023 9:32:57 pm",https://developer.mozilla.org/,Neutral,Easy,Somewhat challenging,Very challenging,Easy,Neutral,Maintaining security while also maintaining back-compatibility
67,"May 19, 2023 9:38:18 pm",https://developer.mozilla.org/,Neutral,Somewhat challenging,Somewhat challenging,Somewhat challenging,Neutral,Very challenging,
68,"May 19, 2023 10:24:45 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Very easy,Neutral,Neutral,Very challenging,"Education; very little cybersecurity content in my computer science bachelor's degree, don't see security talked about much on the web"
69,"May 19, 2023 11:01:21 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Very challenging,Very challenging,Somewhat challenging,Very challenging,
70,"May 20, 2023 12:01:58 am",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,i want open its apps 
71,"May 20, 2023 1:23:10 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Very challenging,Very challenging,Very challenging,Very challenging,
72,"May 20, 2023 2:24:58 am",https://developer.mozilla.org/,Very challenging,Very challenging,Neutral,Somewhat challenging,Somewhat challenging,Neutral,
73,"May 20, 2023 2:40:25 am",https://developer.mozilla.org/,Very challenging,Neutral,Somewhat challenging,Very easy,Very easy,Very challenging,
74,"May 20, 2023 3:24:13 am",https://developer.mozilla.org/,Neutral,Neutral,Easy,Neutral,Easy,Easy,
75,"May 20, 2023 3:50:00 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Neutral,Somewhat challenging,Easy,Very challenging,
76,"May 20, 2023 5:53:08 am",https://developer.mozilla.org/,Neutral,Somewhat challenging,Very challenging,Somewhat challenging,Very easy,Somewhat challenging,
77,"May 20, 2023 7:04:28 am",https://developer.mozilla.org/,Neutral,Very challenging,Very challenging,Very challenging,Easy,Very challenging,
78,"May 20, 2023 7:09:24 am",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Very challenging,Very challenging,Very challenging,Somewhat challenging,
79,"May 20, 2023 7:17:26 am",https://developer.mozilla.org/,Neutral,Neutral,Neutral,Easy,Easy,Somewhat challenging,
80,"May 20, 2023 7:32:06 am",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Neutral,Neutral,Somewhat challenging,Somewhat challenging,
81,"May 20, 2023 7:53:07 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Easy,Neutral,Easy,Somewhat challenging,
82,"May 20, 2023 8:23:25 am",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Somewhat challenging,Very challenging,Very challenging,Very challenging,
83,"May 20, 2023 8:53:32 am",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Neutral,Somewhat challenging,Neutral,Somewhat challenging,
84,"May 20, 2023 9:11:55 am",https://developer.mozilla.org/,Neutral,Neutral,Very challenging,Somewhat challenging,Easy,Very challenging,
85,"May 20, 2023 9:31:46 am",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Very challenging,,Very challenging,
86,"May 20, 2023 9:39:44 am",https://developer.mozilla.org/,Very challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Neutral,Very challenging,
87,"May 20, 2023 9:57:44 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Somewhat challenging,Somewhat challenging,Neutral,Neutral,Awareness
88,"May 20, 2023 12:39:14 pm",https://developer.mozilla.org/,Neutral,Somewhat challenging,Very challenging,Neutral,Neutral,Somewhat challenging,
89,"May 20, 2023 1:52:37 pm",https://developer.mozilla.org/,Easy,Neutral,Easy,Somewhat challenging,Easy,Very challenging,
90,"May 20, 2023 2:14:07 pm",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Very challenging,Very challenging,Very easy,Somewhat challenging,[noise redacted -  2]
91,"May 20, 2023 2:25:36 pm",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Easy,Neutral,Very easy,Very easy,
92,"May 20, 2023 2:51:42 pm",https://developer.mozilla.org/,Very challenging,Very challenging,Somewhat challenging,Neutral,Neutral,Neutral,Honestly I'm just trying to make our home network safer
93,"May 20, 2023 3:14:53 pm",https://developer.mozilla.org/,Very challenging,Somewhat challenging,Very challenging,Somewhat challenging,Somewhat challenging,Very challenging,security using websockets 
94,"May 20, 2023 4:25:32 pm",https://developer.mozilla.org/,Neutral,Easy,Easy,Neutral,Very challenging,Very challenging,
95,"May 20, 2023 4:36:27 pm",https://developer.mozilla.org/,Very challenging,Neutral,Very challenging,Very challenging,Neutral,Very challenging,
96,"May 20, 2023 6:21:53 pm",https://developer.mozilla.org/,Somewhat challenging,Easy,Neutral,Somewhat challenging,Very easy,Very challenging,
97,"May 20, 2023 7:12:27 pm",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Somewhat challenging,Very challenging,Very challenging,State actors and orchestrated cyber crime
98,"May 20, 2023 10:01:09 pm",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Very challenging,Neutral,Neutral,Allowed my device to work perfect no block site. 
99,"May 20, 2023 10:01:56 pm",https://developer.mozilla.org/,Neutral,Neutral,Neutral,Neutral,Somewhat challenging,Neutral,Thank you so 
100,"May 20, 2023 10:22:52 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Easy,Somewhat challenging,Very easy,Very challenging,
101,"May 20, 2023 10:46:46 pm",https://survey.alchemer.com/s3/7348686/MDN-Web-Security-short-survey,Somewhat challenging,Somewhat challenging,Easy,Somewhat challenging,Somewhat challenging,Very challenging,"I'd like to see, a tool that can give semantic hints for correctly implementing lower level protocols, and pointing out known security vulnerabilities."
102,"May 20, 2023 10:55:53 pm",https://developer.mozilla.org/en-US/docs/Web/API/SubtleCrypto/digest,Somewhat challenging,Neutral,Easy,Somewhat challenging,Somewhat challenging,Somewhat challenging,
103,"May 20, 2023 11:06:08 pm",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,
104,"May 21, 2023 12:01:34 am",https://developer.mozilla.org/,Very challenging,Neutral,Somewhat challenging,Somewhat challenging,Somewhat challenging,Very challenging,
105,"May 21, 2023 1:39:54 am",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Somewhat challenging,,Neutral,Very challenging,implementing authentication by avoiding risks of making mistakes
106,"May 21, 2023 3:23:25 am",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Easy,Somewhat challenging,Somewhat challenging,Very challenging,
107,"May 21, 2023 3:39:41 am",https://developer.mozilla.org/,Very challenging,,Neutral,Somewhat challenging,Somewhat challenging,Neutral,[noise redacted – 3]
108,"May 21, 2023 5:18:04 am",https://developer.mozilla.org/,Easy,Easy,Easy,Neutral,Easy,Easy,
109,"May 21, 2023 5:25:32 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,,,,,
110,"May 21, 2023 6:43:30 am",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Neutral,Neutral,Very easy,[PII redacted – 2]
111,"May 21, 2023 7:14:59 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Very challenging,Somewhat challenging,Very easy,Neutral,
112,"May 21, 2023 7:18:58 am",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Somewhat challenging,Very challenging,Very challenging,Very challenging,
113,"May 21, 2023 8:36:50 am",https://developer.mozilla.org/,,,,,,,
114,"May 21, 2023 8:42:23 am",https://developer.mozilla.org/,Neutral,Somewhat challenging,Neutral,Easy,Very easy,Easy,
115,"May 21, 2023 9:31:17 am",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Very challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,"Recently discovered it is possible for the user to drag-and-drop entire home/profile directories into the browser, giving the page access to all contained files without an extra prompt. Crazy!"
116,"May 21, 2023 9:31:21 am",https://developer.mozilla.org/,Very easy,Easy,Very easy,Easy,Easy,Very easy,
117,"May 21, 2023 9:38:25 am",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Easy,Easy,Neutral,Somewhat challenging,It is difficult to secure an application when there are many vulnerabilities: XXE. XXS. JSOBF SQLI ...
118,"May 21, 2023 10:24:18 am",https://survey.alchemer.com/s3/7348686/MDN-Web-Security-short-survey,Somewhat challenging,Very challenging,Easy,Neutral,Neutral,Somewhat challenging,"Full stack reference design that is GDPR compliant, and compliant with regional regulations. It's more about architecture than specific web features. References from Mozilla on this would be fantastic. We could then point regulators to those references, and with time they would start understanding exactly what is and isn't catered for in those designs, and how each element maps to the framework they are evaluating."
119,"May 21, 2023 10:37:56 am",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,Ok 
120,"May 21, 2023 10:38:52 am",https://developer.mozilla.org/,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Ok 
121,"May 21, 2023 10:47:26 am",https://developer.mozilla.org/,Very challenging,Neutral,Somewhat challenging,Neutral,Neutral,Somewhat challenging,
122,"May 21, 2023 12:03:31 pm",https://developer.mozilla.org/,Very challenging,Somewhat challenging,Very challenging,Very challenging,Very challenging,Very challenging,too many different ways to solve myriad of problems. why don't the gatekeepers (browser/engine vendors) build the protections themselves instead of relying on (poorly skilled) programmers like me? 
123,"May 21, 2023 12:21:13 pm",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,
124,"May 21, 2023 2:12:20 pm",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Neutral,Very challenging,Very challenging,Very challenging,
125,"May 21, 2023 3:14:12 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Neutral,Very challenging,Easy,Somewhat challenging,
126,"May 21, 2023 3:24:22 pm",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,
127,"May 21, 2023 4:58:11 pm",https://developer.mozilla.org/,Somewhat challenging,Easy,Very challenging,Very challenging,Neutral,Easy,
128,"May 21, 2023 5:14:53 pm",https://developer.mozilla.org/,Very challenging,Neutral,Very easy,Very challenging,Neutral,Very challenging,Ensuring the rest of the team understands and is able to identify security risks.
129,"May 21, 2023 5:34:42 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Neutral,Neutral,Somewhat challenging,Very challenging,
130,"May 21, 2023 8:25:43 pm",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Somewhat challenging,Different browser behavior for service worker. 
131,"May 21, 2023 10:05:01 pm",https://developer.mozilla.org/,Neutral,Somewhat challenging,Very challenging,Somewhat challenging,Very challenging,Very challenging,Other engineers less knowledgeable in this space than I
132,"May 21, 2023 10:07:56 pm",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,
133,"May 21, 2023 10:54:01 pm",https://developer.mozilla.org/,Easy,Easy,Easy,Easy,Easy,Easy,
134,"May 21, 2023 10:58:28 pm",https://developer.mozilla.org/,Very challenging,Somewhat challenging,Somewhat challenging,Very challenging,Somewhat challenging,Very challenging,
135,"May 21, 2023 11:47:04 pm",https://developer.mozilla.org/,Somewhat challenging,Neutral,Somewhat challenging,Neutral,Neutral,Somewhat challenging,
136,"May 21, 2023 11:54:06 pm",https://developer.mozilla.org/,Easy,Easy,Somewhat challenging,Neutral,Very challenging,Very challenging,
137,"May 21, 2023 11:57:11 pm",https://developer.mozilla.org/,Somewhat challenging,Easy,Easy,Neutral,Very easy,Neutral,
138,"May 22, 2023 12:03:23 am",https://developer.mozilla.org/,Easy,Neutral,Neutral,Very challenging,Very challenging,Easy,
139,"May 22, 2023 12:06:43 am",https://developer.mozilla.org/,Easy,Neutral,Very challenging,Somewhat challenging,Somewhat challenging,Very challenging,"Security issues always arise all of a sudden, and we often don't have time for taking actions immediately."
140,"May 22, 2023 12:34:48 am",https://developer.mozilla.org/,Very challenging,Somewhat challenging,Neutral,Neutral,Somewhat challenging,Somewhat challenging,
141,"May 22, 2023 12:39:14 am",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,
142,"May 22, 2023 12:57:37 am",https://developer.mozilla.org/,Neutral,Somewhat challenging,Somewhat challenging,Neutral,Easy,Easy,
143,"May 22, 2023 1:13:45 am",https://developer.mozilla.org/,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,
144,"May 22, 2023 1:17:42 am",https://developer.mozilla.org/,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,I am looking forward to it
145,"May 22, 2023 1:20:53 am",https://developer.mozilla.org/,Somewhat challenging,Easy,Very challenging,Somewhat challenging,Neutral,Somewhat challenging,Debugging Content Security Policy is pretty hard and browser do not handle it the same way
146,"May 22, 2023 1:22:51 am",https://developer.mozilla.org/,Neutral,Somewhat challenging,Very easy,Easy,Neutral,Neutral,
147,"May 22, 2023 1:54:19 am",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Neutral,Somewhat challenging,Neutral,Very challenging,supply chain management; especially when it comes to CSP (best-practice) compliancy; insecure object (de-) serialisation implementations; auto-binding overposting.
148,"May 22, 2023 1:55:53 am",https://developer.mozilla.org/,Very challenging,Very challenging,Neutral,Neutral,Easy,Very challenging,
149,"May 22, 2023 2:39:55 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Easy,Neutral,Somewhat challenging,Somewhat challenging,
150,"May 22, 2023 2:58:47 am",https://developer.mozilla.org/,Easy,Very challenging,Very challenging,Very challenging,Easy,Very challenging,
151,"May 22, 2023 3:07:18 am",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Neutral,Neutral,Very challenging,Very challenging,
152,"May 22, 2023 4:38:24 am",https://developer.mozilla.org/,Neutral,Somewhat challenging,Somewhat challenging,Neutral,Very easy,Somewhat challenging,Keeping up with new standards while still being backwards compatible with sometimes even 10+ year old devices.
153,"May 22, 2023 4:43:12 am",https://developer.mozilla.org/,Neutral,Somewhat challenging,Easy,Very challenging,Neutral,Very challenging,
154,"May 22, 2023 4:52:44 am",https://developer.mozilla.org/,Somewhat challenging,Very challenging,Somewhat challenging,Easy,Very easy,Very challenging,"Different types of attacks how they can be prevented in my application, best practices and tips"
155,"May 22, 2023 4:55:09 am",https://developer.mozilla.org/,Easy,Somewhat challenging,Neutral,Easy,Very easy,Neutral,
156,"May 22, 2023 5:00:57 am",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,Very challenging,
157,"May 22, 2023 5:09:10 am",https://developer.mozilla.org/,Very challenging,Very challenging,Very challenging,Somewhat challenging,Easy,Very challenging,[PII redacted – 3]
158,"May 22, 2023 5:27:37 am",https://developer.mozilla.org/,Somewhat challenging,Neutral,Somewhat challenging,Somewhat challenging,Neutral,Neutral,
159,"May 22, 2023 5:31:43 am",https://developer.mozilla.org/,Somewhat challenging,Somewhat challenging,Easy,Easy,Neutral,Somewhat challenging,
160,"May 22, 2023 5:34:02 am",https://survey.alchemer.com/s3/7348686/MDN-Web-Security-short-survey,Very challenging,Neutral,Somewhat challenging,Somewhat challenging,Very challenging,,
