Response ID,Time Started,Date Submitted,Status,Language,"What's your experience with Web Components (custom elements, shadow DOM, etc.)?","Children changed callback:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Composed selection:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Constructable stylesheets & adoptedStyleSheets:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Cross-root ARIA:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","CSS module scripts:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","CSS Properties and Values API inside shadow root:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Custom attributes:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Custom CSS state:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Custom SVG/MathML elements:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Declarative CSS modules:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Declarative custom elements:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Declarative shadow DOM:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Form-Associated custom elements:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","HTML modules:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Imperative slot assignment:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Lazy custom element definitions:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Open styling of shadow roots:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Scoped element registries:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Styling children of slotted content:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Template instantiation and updating:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)","Theming:For your needs as a developer, which Web Components features should be improved across browsers in the coming year? This means enabling support or fixing bugs. (This is not a complete list, other features may also be planned.)"
14,"Mar 28, 2023 6:42:14 pm","Mar 28, 2023 6:42:14 pm",Complete,English,Have used them,I don't need this,I need this,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't need this,I don't need this,I don't need this,I don't need this,I need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't care/don't know,I don't need this,I don't care/don't know,I don't need this
15,"Mar 28, 2023 6:44:54 pm","Mar 28, 2023 6:44:54 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
16,"Mar 28, 2023 6:47:18 pm","Mar 28, 2023 6:47:18 pm",Complete,English,Know about them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't need this,I don't need this,I don't need this,I don't care/don't know,I don't need this,I need this,I need this,I need this,I don't care/don't know,I need this,I don't need this,I don't care/don't know,I don't care/don't know,I don't need this,I need this,I need this,I don't need this
17,"Mar 28, 2023 6:47:31 pm","Mar 28, 2023 6:47:31 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
18,"Mar 28, 2023 6:51:00 pm","Mar 28, 2023 6:51:00 pm",Complete,English,Know about them,I need this,I need this,I need this,I need this,I need this,I need this,I don't need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this
19,"Mar 28, 2023 6:51:03 pm","Mar 28, 2023 6:51:03 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
20,"Mar 28, 2023 6:55:09 pm","Mar 28, 2023 6:55:09 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
21,"Mar 28, 2023 6:57:17 pm","Mar 28, 2023 6:57:17 pm",Complete,English,Have used them,I don't need this,,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I need this,I don't need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this
22,"Mar 28, 2023 7:03:16 pm","Mar 28, 2023 7:03:16 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
23,"Mar 28, 2023 7:03:21 pm","Mar 28, 2023 7:03:21 pm",Complete,English,Know about them,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't need this
24,"Mar 28, 2023 7:16:26 pm","Mar 28, 2023 7:16:26 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
25,"Mar 28, 2023 7:27:39 pm","Mar 28, 2023 7:27:39 pm",Complete,English,Have used them,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I don't need this,I need this,I need this,I need this,I don't need this,I don't need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this
26,"Mar 28, 2023 7:29:45 pm","Mar 28, 2023 7:29:45 pm",Complete,English,Have used them,I don't care/don't know,I need this,I need this,I don't need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know
27,"Mar 28, 2023 7:32:38 pm","Mar 28, 2023 7:32:38 pm",Complete,English,Have used them,,,,,,,,,,,,,,,,,,,,,
28,"Mar 28, 2023 7:36:51 pm","Mar 28, 2023 7:36:51 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
29,"Mar 28, 2023 7:40:40 pm","Mar 28, 2023 7:40:40 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
30,"Mar 28, 2023 7:42:40 pm","Mar 28, 2023 7:42:40 pm",Complete,English,Know about them,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this
31,"Mar 28, 2023 7:50:22 pm","Mar 28, 2023 7:50:22 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
32,"Mar 28, 2023 7:53:27 pm","Mar 28, 2023 7:53:27 pm",Complete,English,Know about them,,,,,,,,,,,,,,,,,,,,,
33,"Mar 28, 2023 8:00:09 pm","Mar 28, 2023 8:00:09 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
34,"Mar 28, 2023 8:11:55 pm","Mar 28, 2023 8:11:55 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
35,"Mar 28, 2023 8:16:13 pm","Mar 28, 2023 8:16:13 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
36,"Mar 28, 2023 8:26:02 pm","Mar 28, 2023 8:26:02 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
37,"Mar 28, 2023 8:32:53 pm","Mar 28, 2023 8:32:53 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
38,"Mar 28, 2023 8:33:44 pm","Mar 28, 2023 8:33:44 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
39,"Mar 28, 2023 8:37:39 pm","Mar 28, 2023 8:37:39 pm",Complete,English,Have used them,I need this,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I don't care/don't know
40,"Mar 28, 2023 8:39:05 pm","Mar 28, 2023 8:39:05 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
41,"Mar 28, 2023 8:43:21 pm","Mar 28, 2023 8:43:21 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
42,"Mar 28, 2023 8:45:28 pm","Mar 28, 2023 8:45:28 pm",Complete,English,Know about them,,,,,,,,,,,,,,,,,,,,,
43,"Mar 28, 2023 8:50:29 pm","Mar 28, 2023 8:50:29 pm",Complete,English,Know about them,I need this,I need this,I need this,I don't need this,I need this,I need this,I need this,I need this,I don't need this,I need this,I don't need this,I don't need this,I don't need this,I need this,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this
44,"Mar 28, 2023 8:57:36 pm","Mar 28, 2023 8:57:36 pm",Complete,English,,,,,,,,,,,,,,,,,,,,,,
45,"Mar 28, 2023 9:00:22 pm","Mar 28, 2023 9:00:22 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
46,"Mar 28, 2023 9:03:42 pm","Mar 28, 2023 9:03:42 pm",Complete,English,Have used them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this
47,"Mar 28, 2023 9:08:19 pm","Mar 28, 2023 9:08:19 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
48,"Mar 28, 2023 9:19:24 pm","Mar 28, 2023 9:19:24 pm",Complete,English,,,,,,,,,,,,,,,,,,,,,,
49,"Mar 28, 2023 9:23:00 pm","Mar 28, 2023 9:23:00 pm",Complete,English,Know about them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know
50,"Mar 28, 2023 9:37:13 pm","Mar 28, 2023 9:37:13 pm",Complete,English,Have used them,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I don't care/don't know
51,"Mar 28, 2023 9:51:20 pm","Mar 28, 2023 9:51:20 pm",Complete,English,Know about them,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this
52,"Mar 28, 2023 9:55:18 pm","Mar 28, 2023 9:55:18 pm",Complete,English,Know about them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this
53,"Mar 28, 2023 10:04:11 pm","Mar 28, 2023 10:04:11 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
54,"Mar 28, 2023 10:05:27 pm","Mar 28, 2023 10:05:27 pm",Complete,English,Know about them,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this
55,"Mar 28, 2023 10:30:35 pm","Mar 28, 2023 10:30:35 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
56,"Mar 28, 2023 10:32:45 pm","Mar 28, 2023 10:32:45 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
57,"Mar 28, 2023 10:33:23 pm","Mar 28, 2023 10:33:23 pm",Complete,English,Know about them,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this
58,"Mar 28, 2023 10:36:17 pm","Mar 28, 2023 10:36:17 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
59,"Mar 28, 2023 10:48:08 pm","Mar 28, 2023 10:48:08 pm",Complete,English,Know about them,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I don't need this
60,"Mar 28, 2023 10:55:00 pm","Mar 28, 2023 10:55:00 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
61,"Mar 28, 2023 10:58:19 pm","Mar 28, 2023 10:58:19 pm",Complete,English,Have used them,I need this,,I need this,,I need this,I need this,I need this,,I don't need this,I need this,,I need this,,I need this,I need this,I need this,,I need this,I need this,,I need this
62,"Mar 28, 2023 11:04:05 pm","Mar 28, 2023 11:04:05 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
63,"Mar 28, 2023 11:07:58 pm","Mar 28, 2023 11:07:58 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
64,"Mar 28, 2023 11:10:00 pm","Mar 28, 2023 11:10:00 pm",Complete,English,Have used them,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't need this,I don't care/don't know,I need this,I need this,I need this,I need this,I don't need this,I don't care/don't know,I need this,I don't care/don't know,I don't need this,I don't need this,I don't care/don't know,I don't care/don't know,I need this,I need this
65,"Mar 28, 2023 11:10:25 pm","Mar 28, 2023 11:10:26 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
66,"Mar 28, 2023 11:17:26 pm","Mar 28, 2023 11:17:26 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
67,"Mar 28, 2023 11:19:10 pm","Mar 28, 2023 11:19:10 pm",Complete,English,Know about them,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't need this,I don't care/don't know,I don't need this,I don't need this,I don't need this,I don't need this
68,"Mar 28, 2023 11:19:19 pm","Mar 28, 2023 11:19:19 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
69,"Mar 28, 2023 11:19:42 pm","Mar 28, 2023 11:19:42 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
70,"Mar 28, 2023 11:26:39 pm","Mar 28, 2023 11:26:39 pm",Complete,English,Know about them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know
71,"Mar 28, 2023 11:27:42 pm","Mar 28, 2023 11:27:42 pm",Complete,English,Know about them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this
72,"Mar 28, 2023 11:28:17 pm","Mar 28, 2023 11:28:17 pm",Complete,English,Have used them,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this
73,"Mar 28, 2023 11:30:30 pm","Mar 28, 2023 11:30:30 pm",Complete,English,Know about them,I don't care/don't know,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I don't care/don't know,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this
74,"Mar 28, 2023 11:31:59 pm","Mar 28, 2023 11:31:59 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
75,"Mar 28, 2023 11:35:25 pm","Mar 28, 2023 11:35:25 pm",Complete,English,Have used them,,,,,,,,,,,,,,,,,,,,,
76,"Mar 28, 2023 11:35:46 pm","Mar 28, 2023 11:35:46 pm",Complete,English,Have used them,I don't need this,,,,,,,,,,,,,,,,,,,,
77,"Mar 28, 2023 11:45:58 pm","Mar 28, 2023 11:45:58 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
78,"Mar 28, 2023 11:47:37 pm","Mar 28, 2023 11:47:37 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
79,"Mar 28, 2023 11:49:43 pm","Mar 28, 2023 11:49:43 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
80,"Mar 28, 2023 11:49:49 pm","Mar 28, 2023 11:49:49 pm",Complete,English,Have used them,I need this,I need this,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,,I need this,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know
81,"Mar 28, 2023 11:50:23 pm","Mar 28, 2023 11:50:23 pm",Complete,English,Have used them,,,,,,,,,,,,,,,,,,,,,
82,"Mar 28, 2023 11:50:58 pm","Mar 28, 2023 11:50:58 pm",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
83,"Mar 28, 2023 11:51:44 pm","Mar 28, 2023 11:51:44 pm",Complete,English,Have used them,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this,I need this,I need this,I don't care/don't know,I need this,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I need this
84,"Mar 28, 2023 11:52:10 pm","Mar 28, 2023 11:52:10 pm",Complete,English,Have used them,,,,,,,,,,,,,,,,,,,,I need this,I need this
85,"Mar 28, 2023 11:52:39 pm","Mar 28, 2023 11:52:39 pm",Complete,English,Have used them,I don't care/don't know,I don't need this,I don't need this,I don't need this,I don't care/don't know,I don't care/don't know,I need this,I don't need this,I don't need this,I don't need this,I need this,I don't care/don't know,I don't care/don't know,I need this,I don't need this,I don't need this,I don't care/don't know,I don't need this,I don't need this,I don't need this,I don't need this
86,"Mar 28, 2023 11:58:49 pm","Mar 28, 2023 11:58:49 pm",Complete,English,Know about them,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this
87,"Mar 29, 2023 12:03:16 am","Mar 29, 2023 12:03:16 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
88,"Mar 29, 2023 12:07:56 am","Mar 29, 2023 12:07:56 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
89,"Mar 29, 2023 12:08:43 am","Mar 29, 2023 12:08:43 am",Complete,English,Have used them,I need this,I don't care/don't know,I don't care/don't know,I don't need this,I need this,I need this,I need this,I need this,I don't need this,I need this,I need this,I need this,I don't care/don't know,I need this,I need this,I need this,I need this,I need this,I need this,I need this,I need this
90,"Mar 29, 2023 12:13:22 am","Mar 29, 2023 12:13:22 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
91,"Mar 29, 2023 12:18:09 am","Mar 29, 2023 12:18:09 am",Complete,English,Know about them,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know,I don't care/don't know
92,"Mar 29, 2023 12:22:43 am","Mar 29, 2023 12:22:43 am",Complete,English,Never heard of them,,,,,,,,,,,,,,,,,,,,,
