Response ID,Time Started,Date Submitted,Status,Legacy Comments,Comments,Language,Referer,User Agent,Tags,Chrome desktop:A web feature must be supported by these browsers before you can use it:,Chrome on Android:A web feature must be supported by these browsers before you can use it:,Android Webview:A web feature must be supported by these browsers before you can use it:,Firefox desktop:A web feature must be supported by these browsers before you can use it:,Firefox on Android:A web feature must be supported by these browsers before you can use it:,Edge desktop:A web feature must be supported by these browsers before you can use it:,Internet Explorer:A web feature must be supported by these browsers before you can use it:,Safari desktop:A web feature must be supported by these browsers before you can use it:,Safari on iOS:A web feature must be supported by these browsers before you can use it:,Opera desktop:A web feature must be supported by these browsers before you can use it:,Opera on Android:A web feature must be supported by these browsers before you can use it:,Samsung Internet:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,"For those browsers, how far back do they need to support a feature before you can use it?","Do you need other browsers to be included in the compatibility tables on MDN? If so, tell us which ones:",How important is it for you to know about browser support for experimental features that must be enabled by the user?,How important is it for you to know whether a browser is planning to ship a feature behind a user preference in an upcoming release?
26,"Oct 15, 2022 11:42:27 pm","Oct 15, 2022 11:42:27 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Very important
27,"Oct 16, 2022 12:19:43 pm","Oct 16, 2022 12:19:43 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Very important,Very important
28,"Oct 16, 2022 12:47:44 pm","Oct 16, 2022 12:47:44 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Current major version is enough,netsurf and amazon kindle browser,Somewhat important,Very important
29,"Oct 16, 2022 1:21:41 pm","Oct 16, 2022 1:21:41 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,,Not important,Somewhat important
30,"Oct 16, 2022 5:33:48 pm","Oct 16, 2022 5:33:48 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,Safari desktop,,,,,,,,,Needs to be supported in more than current and previous major version,,Very important,Somewhat important
31,"Oct 16, 2022 6:00:01 pm","Oct 16, 2022 6:00:01 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Somewhat important,Neutral
32,"Oct 16, 2022 6:33:51 pm","Oct 16, 2022 6:33:51 pm",Complete,,,English,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Classes,,,,,Android Webview,Firefox desktop,Firefox on Android,,,,Safari on iOS,,,,,,,,Depends on the browser,Vivaldi? Brave? Lynx?,Somewhat important,Somewhat important
33,"Oct 16, 2022 9:14:10 pm","Oct 16, 2022 9:14:11 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,"yes, every browser that exists",Neutral,Neutral
34,"Oct 16, 2022 9:26:21 pm","Oct 16, 2022 9:26:21 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,,,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,no,Not important,Not important
35,"Oct 16, 2022 9:47:38 pm","Oct 16, 2022 9:47:38 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,,,,,Safari desktop,Safari on iOS,,,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Somewhat important
36,"Oct 17, 2022 1:26:06 am","Oct 17, 2022 1:26:06 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
37,"Oct 17, 2022 5:49:46 am","Oct 17, 2022 5:49:46 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,,,,,,,,,Needs to be supported in current and previous major version,,Very important,Somewhat important
38,"Oct 17, 2022 5:50:50 am","Oct 17, 2022 5:50:50 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Not important,Somewhat important
39,"Oct 17, 2022 6:24:44 am","Oct 17, 2022 6:24:44 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Very important,Very important
40,"Oct 17, 2022 7:00:46 am","Oct 17, 2022 7:00:46 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Depends on the browser,,Neutral,Somewhat important
41,"Oct 17, 2022 8:00:35 am","Oct 17, 2022 8:00:36 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,,Chrome on Android,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,Tor,Very important,Very important
42,"Oct 17, 2022 8:21:13 am","Oct 17, 2022 8:21:13 am",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
43,"Oct 17, 2022 8:28:05 am","Oct 17, 2022 8:28:05 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
44,"Oct 17, 2022 8:32:39 am","Oct 17, 2022 8:32:39 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Depends on the browser,,Very important,Somewhat important
45,"Oct 17, 2022 8:33:48 am","Oct 17, 2022 8:33:48 am",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,,,Internet Explorer,,,,,,,Other - Please specify,,DuckDuckGo android/ios,Needs to be supported in current and previous major version,,Very important,Very important
46,"Oct 17, 2022 8:36:09 am","Oct 17, 2022 8:36:09 am",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,,,,,,Other - Please specify,,brave,,,,
47,"Oct 17, 2022 8:36:13 am","Oct 17, 2022 8:36:13 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,,,,,,Current major version is enough,,Somewhat important,Somewhat important
48,"Oct 17, 2022 8:47:00 am","Oct 17, 2022 8:47:00 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,Safari on iOS,,,,,,,,Depends on the browser,,Neutral,Somewhat important
49,"Oct 17, 2022 9:12:53 am","Oct 17, 2022 9:12:53 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Neutral
50,"Oct 17, 2022 9:22:32 am","Oct 17, 2022 9:22:32 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,Edge desktop,,,Safari on iOS,,,,,Other - Please specify,,Brave on Android,Current major version is enough,,Not important,Not important
51,"Oct 17, 2022 9:37:36 am","Oct 17, 2022 9:37:36 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Neutral,Very important
52,"Oct 17, 2022 9:37:43 am","Oct 17, 2022 9:37:43 am",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,,,,,,,,,Current major version is enough,,Neutral,Neutral
53,"Oct 17, 2022 9:45:34 am","Oct 17, 2022 9:45:34 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Very important,Somewhat important
54,"Oct 17, 2022 10:06:57 am","Oct 17, 2022 10:06:57 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,,,Edge desktop,,Safari desktop,,,,,,,,,Depends on the browser,,Somewhat important,Somewhat important
55,"Oct 17, 2022 10:08:18 am","Oct 17, 2022 10:08:18 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,,,,,,,Depends on the browser,iOS Webview,Neutral,Very important
56,"Oct 17, 2022 10:22:59 am","Oct 17, 2022 10:22:59 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Not important
57,"Oct 17, 2022 10:34:50 am","Oct 17, 2022 10:34:50 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Very important,Neutral
58,"Oct 17, 2022 10:41:32 am","Oct 17, 2022 10:41:32 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,Samsung Internet,,,,,Current major version is enough,,Somewhat important,Somewhat important
59,"Oct 17, 2022 10:52:03 am","Oct 17, 2022 10:52:03 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,,,,,,,,,Current major version is enough,,Neutral,Somewhat important
60,"Oct 17, 2022 10:57:29 am","Oct 17, 2022 10:57:29 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Depends on the browser,,Somewhat important,
61,"Oct 17, 2022 11:09:25 am","Oct 17, 2022 11:09:25 am",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,Firefox on Android,,,,,,,,,,,,,,,
62,"Oct 17, 2022 11:14:21 am","Oct 17, 2022 11:14:21 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
63,"Oct 17, 2022 11:17:59 am","Oct 17, 2022 11:17:59 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Needs to be supported in more than current and previous major version,,Not important,Not important
64,"Oct 17, 2022 11:20:24 am","Oct 17, 2022 11:20:24 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Somewhat important,Somewhat important
65,"Oct 17, 2022 11:21:46 am","Oct 17, 2022 11:21:46 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,,,,,,,,,Needs to be supported in current and previous major version,No,Very important,Somewhat important
66,"Oct 17, 2022 11:25:42 am","Oct 17, 2022 11:25:42 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in current and previous major version,,Neutral,Somewhat important
67,"Oct 17, 2022 11:26:25 am","Oct 17, 2022 11:26:25 am",Complete,,,English,https://developer.mozilla.org/,,,,Chrome on Android,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Neutral,Neutral
68,"Oct 17, 2022 11:31:03 am","Oct 17, 2022 11:31:03 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Somewhat important,Not important
69,"Oct 17, 2022 11:32:31 am","Oct 17, 2022 11:32:31 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
70,"Oct 17, 2022 11:38:06 am","Oct 17, 2022 11:38:06 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,,,,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
71,"Oct 17, 2022 11:41:12 am","Oct 17, 2022 11:41:12 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,,,,,Safari desktop,Safari on iOS,,,,,Other - Please specify,,Instragram browser,Depends on the browser,Instragram browser,Somewhat important,Somewhat important
72,"Oct 17, 2022 11:46:29 am","Oct 17, 2022 11:46:29 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
73,"Oct 17, 2022 12:11:29 pm","Oct 17, 2022 12:11:29 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,Android Webview,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
74,"Oct 17, 2022 12:25:41 pm","Oct 17, 2022 12:25:41 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,,,,,,,,,,Current major version is enough,,Somewhat important,Very important
75,"Oct 17, 2022 12:30:41 pm","Oct 17, 2022 12:30:41 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,,Safari on iOS,,,,,,,,,,Somewhat important,Very important
76,"Oct 17, 2022 12:31:39 pm","Oct 17, 2022 12:31:39 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
77,"Oct 17, 2022 12:34:51 pm","Oct 17, 2022 12:34:51 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Somewhat important
78,"Oct 17, 2022 12:55:28 pm","Oct 17, 2022 12:55:28 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Needs to be supported in current and previous major version,,Very important,Somewhat important
79,"Oct 17, 2022 12:55:33 pm","Oct 17, 2022 12:55:33 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Not important,Not important
80,"Oct 17, 2022 12:55:40 pm","Oct 17, 2022 12:55:40 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Somewhat important
81,"Oct 17, 2022 1:02:56 pm","Oct 17, 2022 1:02:56 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,Other - Please specify,,Firefox on iOS,,,,
82,"Oct 17, 2022 1:04:05 pm","Oct 17, 2022 1:04:05 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,Other - Please specify,,"Firefox on iOS, Chrome on iOS",Depends on the browser,,Somewhat important,Somewhat important
83,"Oct 17, 2022 1:11:41 pm","Oct 17, 2022 1:11:41 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
84,"Oct 17, 2022 1:14:55 pm","Oct 17, 2022 1:14:55 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,,,,,,,Needs to be supported in current and previous major version,,Neutral,Neutral
85,"Oct 17, 2022 1:18:14 pm","Oct 17, 2022 1:18:15 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,,,,,,,,,,Needs to be supported in current and previous major version,no,Somewhat important,Somewhat important
86,"Oct 17, 2022 1:20:10 pm","Oct 17, 2022 1:20:10 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
87,"Oct 17, 2022 1:21:46 pm","Oct 17, 2022 1:21:46 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Not important,Not important
88,"Oct 17, 2022 1:34:53 pm","Oct 17, 2022 1:34:53 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,,,,
89,"Oct 17, 2022 2:19:06 pm","Oct 17, 2022 2:19:06 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Very important,Very important
90,"Oct 17, 2022 2:32:10 pm","Oct 17, 2022 2:32:10 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Neutral,Neutral
91,"Oct 17, 2022 2:40:30 pm","Oct 17, 2022 2:40:30 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Not important,Somewhat important
